,r1_b1,r1_b2,r1_avg,r2_b1,r2_b2,r2_avg,r3_b1,r3_b2,r3_avg,r4_b1,r4_b2,r4_avg,r5_b1,r5_b2,r5_avg,r6_b1,r6_b2,r6_avg,r7_b1,r7_b2,r7_avg,r8_b1,r8_b2,r8_avg,r9_b1,r9_b2,r9_avg,r10_b1,r10_b2,r10_avg,r11_b1,r11_b2,r11_avg,r12_b1,r12_b2,r12_avg,r13_b1,r13_b2,r13_avg,r14_b1,r14_b2,r14_avg,r15_b1,r15_b2,r15_avg,r16_b1,r16_b2,r16_avg,r_avg
1,477,247,362.0,459,412,282,442,239,201,280,375,458,307,345,172,495,101,363,343,278,167,295,261,247,465,487,112,349,480,290,162,380,143,432,418,173,241,269,396,231,223,321,116,468,406,398,441,237,317.625
2,466,441,453.5,136,352,140,398,483,198,404,404,461,161,296,500,110,135,399,195,148,439,259,111,134,293,159,198,328,301,373,335,363,243,417,270,388,445,128,109,426,423,442,244,290,197,350,223,151,298.3229166666667
3,279,221,250.0,393,429,401,216,449,263,399,193,472,214,321,329,287,210,487,257,249,379,140,203,119,319,427,169,434,403,184,168,467,356,357,436,239,238,427,377,444,429,285,116,400,182,145,438,355,311.5625
4,220,398,309.0,429,452,147,198,325,309,486,235,273,263,234,478,345,367,232,433,384,429,265,100,120,395,195,234,313,274,302,121,115,382,423,159,133,232,466,294,106,431,477,438,109,396,390,339,225,299.5833333333333
5,272,117,194.5,154,433,162,169,105,422,474,279,226,243,275,448,223,477,433,170,376,467,376,137,210,230,497,315,277,437,427,126,337,448,472,240,159,263,405,223,170,493,181,215,119,354,100,227,234,287.3229166666667
6,208,135,171.5,191,284,307,404,236,473,420,177,117,370,283,134,449,432,452,267,194,362,279,434,430,437,346,478,272,496,397,273,362,462,248,200,411,181,428,406,107,239,354,124,211,379,220,323,254,308.6979166666667
7,343,467,405.0,256,114,400,450,166,453,348,488,405,333,403,369,464,103,468,451,422,127,114,477,484,232,105,366,488,403,375,483,463,302,165,195,196,245,338,277,249,257,204,339,367,473,264,254,443,333.1875
8,428,245,336.5,340,323,387,153,449,337,389,231,476,307,172,432,430,498,425,400,194,238,426,447,307,157,201,368,392,301,291,461,125,374,282,415,420,499,287,453,475,301,280,381,133,378,243,431,432,342.71875
9,348,196,272.0,101,210,312,136,285,147,216,437,465,293,187,401,108,470,207,459,320,236,105,371,312,147,358,361,248,342,158,135,369,437,337,344,475,161,390,189,487,119,467,237,288,303,140,462,396,290.5
10,302,342,322.0,198,437,158,471,241,248,348,212,186,310,275,123,211,294,307,239,274,299,315,107,123,489,250,194,396,415,350,196,261,445,108,255,407,404,233,167,358,265,228,333,143,428,127,338,461,283.1875
